Paises;Continente;Casos Positivos;CxM Habitantes;Fallecidos;Porcentaje Fallecidos;FxM Habitantes;Recuperados;Porcentaje Recuperados;Anio_x;PIB Anual (M.E);PIB Anual (M.D);Var PIB Anual;PIB Per Capita (E);PIB Per Capita (D);Var PIB Per Capita
Estados Unidos;América;534 361;1616,1;20 651;3.9 %;62,5;32 110;6 %;2019;19139884;21427100;2.3;58469;65456;9.8
España;Europa;163 027;3454,7;16 606;10.2 %;351,9;59 109;34.1 %;2019;1244757;1393505;2;26440;29690;2.8
Italia;Europa;152 271;2534;19 468;12.8 %;324;32 534;21.4 %;2019;1787664;2001290;0.3;29610;33156;1.3
Francia;Europa;129 654;1998,4;13 832;10.7 %;213,2;26 391;20.4 %;2019;2418997;2708067;1.3;36060;40411;3.1
Alemania;Europa;125 452;1507,1;2871;2.3 %;34,5;57 400;45.8 %;2019;3435990;3846591;0.6;41350;46334;2.5
China;Asia;82 052;58,4;3339;4.1 %;2,4;77 575;94.5 %;2018;11530456;13368073;6.6;8263;9580;6.8
Reino Unido;Europa;78 991;1178,4;9875;12.5 %;147,3;344;0.4 %;2019;2523314;2824850;1.4;37760;42385;3.5
Irán;Asia;70 029;840;4357;6.2 %;52,3;41 947;59.9 %;2018;377735;446105;-4.8;4586;5417;-2.1
Turquía;Europa y Asia;52 167;636,2;1101;2.1 %;13,4;2965;5.7 %;2018;652520;771274;2.8;8020;9405;-14.7
Bélgica;Europa;28 018;2432,1;3346;11.9 %;290,5;5986;21.4 %;2019;473639;530239;1.4;41240;46287;2.5
Suiza;Europa;25 107;2919,4;1036;4.1 %;120,5;11100;44.2 %;2019;628107;703165;0.9;73210;82294;4.3
Canadá;América;23 318;615,4;653;2.8 %;17,2;6428;27.6 %;2018;0;1712479;0;0;0;0
Canadá;América;23 318;615,4;653;2.8 %;17,2;6428;27.6 %;2018;0;1712479;0;41923;0;0
Canadá;América;23 318;615,4;653;2.8 %;17,2;6428;27.6 %;2018;0;1712479;0;0;46290;0
Canadá;América;23 318;615,4;653;2.8 %;17,2;6428;27.6 %;2018;0;1712479;0;41923;0;6.7
Canadá;América;23 318;615,4;653;2.8 %;17,2;6428;27.6 %;2018;0;1712479;0;0;46290;0
Canadá;América;23 318;615,4;653;2.8 %;17,2;6428;27.6 %;2019;1550895;0;1.6;0;0;0
Canadá;América;23 318;615,4;653;2.8 %;17,2;6428;27.6 %;2019;1550895;0;1.6;41923;0;0
Canadá;América;23 318;615,4;653;2.8 %;17,2;6428;27.6 %;2019;1550895;0;1.6;0;46290;0
Canadá;América;23 318;615,4;653;2.8 %;17,2;6428;27.6 %;2019;1550895;0;1.6;41923;0;6.7
Canadá;América;23 318;615,4;653;2.8 %;17,2;6428;27.6 %;2019;1550895;0;1.6;0;46290;0
Brasil;América;20 964;100,2;1141;5.4 %;5,5;173;0.8 %;2018;1584004;1867818;1.1;7562;8917;-13.9
Portugal;Europa;15 987;1553,6;470;2.9 %;45,7;266;1.7 %;2019;212303;237673;2.2;20660;23128;4
Austria;Europa;13 806;1551,2;337;2.4 %;37,9;6604;47.8 %;2019;398522;446145;1.6;44900;50362;2.9
Rusia;Europa y Asia;13 584;92,6;106;0.8 %;0,7;1045;7.7 %;2018;1402938;1657290;2.3;9557;11289;0.5
Israel;Asia;10 878;1248,9;103;0.9 %;11,8;1388;12.8 %;2018;313655;370588;3.4;35318;41728;-1.7
Corea del Sur;Asia;10 512;203,2;214;2 %;4,1;7368;70.1 %;2018;1457579;1720489;2.7;28229;33320;1
Suecia;Europa;10 151;983,6;887;8.7 %;85,9;381;3.8 %;2019;474683;531408;1.2;46180;51945;-0.3
Irlanda;Europa;8928;1848,4;320;3.6 %;66,3;25;0.3 %;2019;347215;388708;5.5;70470;79259;5.7
India;Asia;8504;6,1;288;3.4 %;0,2;972;11.4 %;2018;2354689;2718732;6.8;1741;2010;2.2
Ecuador;América;7257;415,6;315;4.3 %;13,9;411;5.7 %;2018;91785;108398;1.4;5392;6368;-2
Chile;América;6927;383,8;73;1.1 %;4;1864;26.9 %;2018;252481;298180;4;13481;15921;1
Perú;América;6848;211,9;181;2.6 %;5,6;1739;25.4 %;2018;190826;225366;4;5965;7045;0.1
Japón;Asia;6748;53,2;108;1.6 %;0,9;762;11.3 %;2018;4195748;4971767;0.3;33160;39293;-2.4
Noruega;Europa;6409;556,3;119;1.9 %;10,3;32;0.5 %;2019;359109;402023;1.2;67040;75452;-3.2
Polonia;Europa;6356;165,6;208;3.3 %;5,4;375;5.9 %;2019;527033;590014;4.1;13730;15538;6.3
